path,size_bytes,category,sha256
results/vacancy/GaSe_vacancy.xlsx,14508,results,7c99d8ae7441231168ea7e0eaec968abdda9ea4403d476291133fcdb7f5c03fa
results/vacancy/GaSe_vacancy_summary.png,171214,results,64aa7d73917982ed2650df4032243891a032d4c09ed4f9fdf104757a2e3bd7c2
results/vacancy/InSe_vacancy.xlsx,14535,results,ddc7ab1ffbddf658cdc8af1109c01f4a811a5c27ff4e1ade98234941d1d511da
results/vacancy/InSe_vacancy_summary.png,187468,results,81d7177587cca7417189b1c6447d12cf24179de4ab12f06692f654cd7f8f803e
results/vacancy/vacancy_summary.csv,1982,results,e37a775e9b37c24cdada83500ac94a68a016358411eeec81b75fe88c885780b0
results/validation/GaS_finite_size.png,111119,results,a9c64a80c01d17426c2531c3d30e485bc10b0275fe0135969b674409c3082071
results/validation/GaSe_finite_size.png,107796,results,5f4b37f106f388e6580abbc02d206a596043845c3de041dfc57d508e2ae69937
results/validation/InSe_finite_size.png,114533,results,abfba204d463faa5a0870e0f8adf7fa8c702559abe074b95f9ab03c86366a928
results/validation/finite_size_shorter_lengths.xlsx,24013,results,a9c9020f1d131fb9fff620809345e33119d6cfd7d10dc1fc9eaba6b19d39ad4b
results/validation/finite_size_summary.csv,5340,results,1e127df69d1052f69d220f9ee02bb91453290aee509e22d25e31aa96299ab7dd
results/validation/literature_benchmark.csv,259,results,bec8d1af065730778558e689b65fc33ec7ebb7375a19e024ae143591f93e7ae5
results/validation/validation_300K_primary.xlsx,23965,results,e51d56d3f5de2079e29c335046ada6b5e50be3028d8a18d881be8c2c438e9285
results/validation/validation_MX_alternate.xlsx,24040,results,b1f70534882f8f0a288b53e36a0dcf4b403e0bfb0d5073fb54704265b23ede17
results/vdos/GaS_defects/D1_S_vacancy_5pct/components.png,1130679,results,c39c88d358731170d19fbf96aa4000451ce2c14d219dae7dcede75a536446415
results/vdos/GaS_defects/D1_S_vacancy_5pct/metadata.txt,694,results,86bd161e9dcbfdb3c3e40ed42443aa5df0c3a0fb636f6f0f1f59b66778caa6f5
results/vdos/GaS_defects/D1_S_vacancy_5pct/total.png,729229,results,c406a7e0128e7e80d8b468964c7ff41706ffe28ef91b410d339ce257f8b70352
results/vdos/GaS_defects/D1_S_vacancy_5pct/vdos_raw.dat,565575,results,0d9350cc1f4b0cf1ade649a3c122284a18cbdf917c0c80a53d6f235a203371b3
results/vdos/GaS_defects/D1_S_vacancy_5pct/vdos_smoothed.dat,565566,results,e9c841bc811459afb76553be4afea0fd4b5101e389d845a8fb25a82d4e8ab3c4
results/vdos/GaS_defects/D2_Ga_vacancy_5pct/components.png,1114260,results,177765366a4cb6e5992afd02985589d2b23c240f91a1746e1d5261e18c37298a
results/vdos/GaS_defects/D2_Ga_vacancy_5pct/metadata.txt,694,results,2c89299bd68a31f68a4775fa372fd74cc5d90be9afcb9dafb94e7c7a289c00d6
results/vdos/GaS_defects/D2_Ga_vacancy_5pct/total.png,714090,results,7fde5f45591662304f47b51fd95a16f9ad1d9f8319733ed5976a409ddfd30b50
results/vdos/GaS_defects/D2_Ga_vacancy_5pct/vdos_raw.dat,565575,results,8a4d4509e42463f7df95d9d428e5b1fd19a5b29fd852f115eed8ff500d57834c
results/vdos/GaS_defects/D2_Ga_vacancy_5pct/vdos_smoothed.dat,565566,results,193e1721abdfc55c8c0df536641667d314214b5b51959bfd2b672cd0af219d3c
results/vdos/GaS_defects/D3_bonded_divacancy_5pct/components.png,1135816,results,b04a2591589561de2f18ec884e36b593067f5dd1feda72e872d3148511f243e7
results/vdos/GaS_defects/D3_bonded_divacancy_5pct/metadata.txt,694,results,46fc78c226752152b50bd9448477cd19c9e82e58865143667c4310c9721914a6
results/vdos/GaS_defects/D3_bonded_divacancy_5pct/total.png,730730,results,d5d4f52ca35b5f519e518355187137e17aaabca55fb5f0fc9bbe3d65523a623c
results/vdos/GaS_defects/D3_bonded_divacancy_5pct/vdos_raw.dat,565575,results,db28e26f5afdf51e3c4f622bdefa1a744fe2091e55e63a8bac0f9a376e51f00b
results/vdos/GaS_defects/D3_bonded_divacancy_5pct/vdos_smoothed.dat,565566,results,de1b8803836de453368b697075ae38343dcf7ba2030cfee49d53e0e0a7325908
results/vdos/overview/GaS_Ga_vacancy.png,1495166,results,3fcaf470a6123082457d3f00d2d3305978ca4e5c0255d27035a3f8133ec9a4d7
results/vdos/overview/GaS_S_vacancy.png,1550250,results,5a99755e3a44d2f5447a9199c836af4e487ea35ec20c59f40c40d3ed2b4e9d7f
results/vdos/overview/GaS_di_vacancy.png,1531874,results,ca2692f8040dab5340a4cca2803a8219c3871314a4d0cd7d56d5b7fe509676b3
results/vdos/overview/GaS_pristine.png,1662860,results,a593dcc8b0756f6cc9960a3b5c3ae661a660c919fa0da3fc6c76854f5c209f27
results/vdos/overview/GaSe_pristine.png,1502768,results,dfb862b34779dd0a00f51f95413f5f189223f25284874d5f80b2db9db3b71144
results/vdos/overview/InSe_pristine.png,1404606,results,7fa72501dbfe9a8fda4655958ff05524d80fa3a119a1ce9c61fa6765c476fb9e
results/vdos/pristine/GaS/components.png,1197531,results,ac45b95799fa9cf13c9b4e36871f9bb2218c15645cf120bf6468ded08771d9b7
results/vdos/pristine/GaS/metadata.txt,694,results,2c9bf719c4cc1f9ae3f16cd306d67b9a1cc029ab0851b12086fa0adb8cf08e5f
results/vdos/pristine/GaS/total.png,765594,results,fd11e275858e7179b3724276eaec18a51c834b1baf6fd053c18a31a6e86fde71
results/vdos/pristine/GaS/vdos_raw.dat,565575,results,561587b289688087947a85239a3926a443051555e9b2d1e19695e1f866ef65c8
results/vdos/pristine/GaS/vdos_smoothed.dat,565566,results,031c5e2fc07bdb45c7d4e692b1df93e25c201ea09fb58a8dda22cfd22bcd317a
results/vdos/pristine/GaSe/components.png,1076573,results,394fe223ce5eed3563fe9b233dddba669b1be86d2b979308c58eecfd54ddab02
results/vdos/pristine/GaSe/metadata.txt,695,results,4e273e6398c5cc33b6520c82e395564a6a750622d83480918ebe4f3ea4190187
results/vdos/pristine/GaSe/total.png,715749,results,8217587a5d7d7cb406f1aadd47fa7e59df6f2339853eed04d88c8b7c3048925c
results/vdos/pristine/GaSe/vdos_raw.dat,565576,results,599c19a6495b38acfe6f2820f6efbcfbc11d1f31d6ee612e0301d97d526baf9b
results/vdos/pristine/GaSe/vdos_smoothed.dat,565567,results,dc4a318268ad831fce48deec8327fee8620fe45f80e7e3c06ce4211d43fe0a04
results/vdos/pristine/InSe/components.png,1114622,results,1ef743f77c5b4b6a5ea3d25376f5d844321c768ba681ee8e4ff8e3c728a43919
results/vdos/pristine/InSe/metadata.txt,695,results,fd3c49946224774859cfcc3821d9e67d887e9873a6ec7dd00fdebca8a32d94a2
results/vdos/pristine/InSe/total.png,734623,results,26ab10ba14c759f7dcc2e19ef89d1cfc8531e456052d74d7a6dd8cc073a8a21b
results/vdos/pristine/InSe/vdos_raw.dat,565576,results,71024980e38b9917b3e4abda1c55a9a0b60acf5374a1c45d76092c533026697b
results/vdos/pristine/InSe/vdos_smoothed.dat,565567,results,45a4cb6dd7639e7b77cb1c06536cdfe6db638b03421d66cd67406b73711b840b
scripts/README.md,1307,scripts,f6af0d5f89f8590bbc2842364ac0063c871a2975de793ef28b25ddfc637e01b5
scripts/nemd/average_profile.py,3424,scripts,e35e29545382c86288e9b54bbd5e8267f88d8f503c49a5fc3745ac38608d717b
scripts/nemd/thermal_conductivity_postprocess.py,3635,scripts,df68b3b585f550c0e23fcd423e1942f65e500b689fdb4a3e36014844b560dc6d
scripts/phonon/gas_phonon_dispersion_pdos.py,19834,scripts,129f48d4a56ea4dfffe5646458804b9ed403080c0c14f97300c4e907d9bf3365
scripts/phonon/gase_phonon_dispersion_pdos.py,19812,scripts,031efc58516e5b7db91f98f27d501d31876cda247a1176280ab4149341aafbd8
scripts/phonon/inse_phonon_dispersion_pdos.py,19815,scripts,cd8a45c064b38eabb27d07813c20511bf17dee52ab6a4dc563c2c2733460f4df
scripts/vacancy/make_vacancies.py,15712,scripts,fc51434502ef0b3ccd3f15a42f642341629f062f9d2a36c5e600a5a483c67a87
scripts/vdos/make_vdos_structures.py,24727,scripts,532fd49483f448998ace38d6b4911f9670a7eaac02dbed7faf1e6e41ac0bad02
scripts/vdos/pdos_publication.py,29874,scripts,2f6b17da0e597f4adf70880e9038c2ed70565c6cd8b04760a598c9ab09eb0bd6
structures/phonon_cells/GaS/GaS_unit_initial.data,368,structures,9f78ab33d081d7af7dfa417ed5b48392385394bfa0c95f128789c75013871a29
structures/phonon_cells/GaS/GaS_unit_relaxed.data,370,structures,8a38aa31ff842c0f3fb640ab7fcf3f31a385ce0dd0d6d52b59b597310ade66b2
structures/phonon_cells/GaSe/GaSe_unit_initial.data,369,structures,0bba28a46b084c9fbae5388600e557aa918e749ffca5048a8160dfee3550bc80
structures/phonon_cells/GaSe/GaSe_unit_relaxed.data,371,structures,2722498c347d88133ac6f50aa71db8f1997857955b7dcbd74be7ffda58e87ac6
structures/phonon_cells/InSe/InSe_unit_initial.data,370,structures,331e4558960867186f6d4e0020a0de50bb5754342455020656556e6e63c8bbc0
structures/phonon_cells/InSe/InSe_unit_relaxed.data,372,structures,571168a37408ee6e4763f2faadc8a96cfac524b252041a04aad27ab844cb9634
structures/pristine/GaS_zfixed.lmp,2966,structures,e3ffc4b394968d60dbc03998c1b9af6dabefb27a23cab172efe1ac302632d4ee
structures/pristine/GaSe_zfixed.lmp,2955,structures,c6941e211d7837d72ea739a363893a9f139c24ea5b85e8a6c3ae2cc43ed69ec5
structures/pristine/InSe_zfixed.lmp,2956,structures,d8092cff7148d9e4bbc404e0d591178cbc4cbba18a1ff31597f7ef3912b13421
structures/strain_representative/GaS_6pct_strain_eq.lmp,6518000,structures,e116471cc2a3491994287c1740cde66eda81e8cc10f4ad442c3737c23e30ece0
structures/vacancy_representative/GaS_D1_VS_5pct_seed101.data,274814,structures,070b2408b0a547137305e329c997cc68f1e4af79afb159f0b5ce9df9f3f23476
structures/vacancy_representative/GaS_D1_transport_5pct_seed101.data,2553247,structures,4e0999b03b37cff38f2a7eb97bb50ad4ec7ff0674f45b505d17a6c372189a58f
structures/vacancy_representative/GaS_D2_VGa_5pct_seed101.data,274808,structures,a62e4cecdc4c36e16c9efdedde64db11a924b00e709229ccb825111a01d26611
structures/vacancy_representative/GaS_D3_VGaS_5pct_seed202.data,274821,structures,3efca07293f4dbcf6be214f97a4f293e51a4b613bfb54518ede3d8d4228cf70d
validation/representative_nemd/GaS_D1_5pct_vacancy/Ener_equ.dat,450228,validation,c8dde777d9f798b1e7c681a37a7fc7761e3ac4644a9177b1470374988ef4ba44
validation/representative_nemd/GaS_D1_5pct_vacancy/energy_vs_time.png,720215,validation,c5b591aa02e9030f9bb66c2e5fad859e3273366d6b8b5f7e32b49232082cb475
validation/representative_nemd/GaS_D1_5pct_vacancy/new.langevin.lmp,5148,validation,f4602fbd7a133dffe7b63e5c05850a6f96c93758f69281590bdfca6f87c6883d
validation/representative_nemd/GaS_D1_5pct_vacancy/temp_profile_midregion.png,1058482,validation,dd449f54455dd8e9fd56e741f855934c11fb490f3d9a6632eb1f3979938da863
validation/representative_nemd/GaS_strain_6pct_armchair/Ener_equ.dat,538308,validation,d7134c3de8735e25690c224aeba86875acd48222cac3a1a2c99c32471885da91
validation/representative_nemd/GaS_strain_6pct_armchair/energy_vs_time.png,646997,validation,2264f41a80cd859c80898cc342ad93b34bc405c082668db063f93162018829b5
validation/representative_nemd/GaS_strain_6pct_armchair/new.langevin.lmp,5443,validation,23dd8beb915a861c18eca337b4e9e28e4dc898e898a0625ebb5b4a99c9abd3d5
validation/representative_nemd/GaS_strain_6pct_armchair/temp_profile_midregion.png,1054768,validation,66e6ba5eacc9df7c6c36c08f2c1380d9043bcb848ddadd12b5a9a7d117baef95
validation/representative_nemd/Sample_Temp_profile.png,956751,validation,590795c4446966822adc955c67681f7ca3ac63b069dcff34f093e4334481ddf0
